joint1,joint2,joint3,joint4,joint5,joint6
-2.814235343876143e-13,-0.5235987666667075,2.094395066666684,-3.491277940787875e-14,-1.5707963000000427,-3.3772774180290385e-13
-2.8353584481859406e-13,-0.5235987666667076,2.094395066666684,-3.5174854374587187e-14,-1.5707963000000429,-3.402626327076287e-13
-2.85648148520964e-13,-0.5235987666667077,2.094395066666684,-3.543706295763298e-14,-1.570796300000043,-3.4279750890385414e-13
-2.8776046215476896e-13,-0.5235987666667078,2.094395066666684,-3.56991563054846e-14,-1.5707963000000433,-3.453323389038654e-13
-2.8987277830250107e-13,-0.5235987666667079,2.094395066666684,-3.596192403937757e-14,-1.5707963000000436,-3.4786716356206344e-13
-2.919850803928501e-13,-0.523598766666708,2.094395066666684,-3.6224372643800174e-14,-1.5707963000000436,-3.5040198796079906e-13
-2.940973842272315e-13,-0.5235987666667081,2.094395066666684,-3.648663522407659e-14,-1.5707963000000436,-3.5293690046834996e-13
-2.9620968937445016e-13,-0.5235987666667082,2.094395066666684,-3.6748714840370284e-14,-1.5707963000000436,-3.554718951656987e-13
-2.9832198233869284e-13,-0.5235987666667083,2.094395066666684,-3.701062870047664e-14,-1.5707963000000436,-3.580070329416858e-13
-3.004342660940768e-13,-0.5235987666667085,2.094395066666684,-3.727255873911642e-14,-1.5707963000000436,-3.6054232047375834e-13
-3.025465590772298e-13,-0.5235987666667086,2.094395066666684,-3.753491935020085e-14,-1.5707963000000436,-3.6307759488805045e-13
-3.046588467027134e-13,-0.5235987666667087,2.094395066666684,-3.77972356802609e-14,-1.5707963000000436,-3.6561292106734837e-13
-3.0677111138360486e-13,-0.5235987666667088,2.094395066666684,-3.805919458295108e-14,-1.5707963000000436,-3.6814833112265094e-13
-3.0888340996584146e-13,-0.5235987666667089,2.094395066666684,-3.832130369824452e-14,-1.5707963000000436,-3.7068370767732505e-13
-3.109957189356566e-13,-0.523598766666709,2.094395066666684,-3.858317787348662e-14,-1.5707963000000436,-3.732190646411647e-13
-3.131080198626255e-13,-0.5235987666667091,2.094395066666684,-3.884508930581607e-14,-1.5707963000000436,-3.757544926103489e-13
-3.1522033502886303e-13,-0.5235987666667092,2.094395066666684,-3.910683573122068e-14,-1.5707963000000436,-3.7828989699750304e-13
-3.1733267045457443e-13,-0.5235987666667093,2.094395066666684,-3.9368185850159284e-14,-1.5707963000000436,-3.8082528272031587e-13
